name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,GENRE 7
136,PROXIE,4tNPboeMQnpoUX7IEbPLdF,4Z64nGulQN49i9D03NcF8a,คนไม่คุย (Silent Mode),69,4Z64nGulQN49i9D03NcF8a,0.783,0.642,7,-8.578,1,0.1,0.391,4.79e-06,0.115,0.682,100.022,230400,4,thai pop,,,,,,,
138,Jeff Satur,5xq3BK55BJmutN0X7eTyQB,4gNkIyfaf2iwPgeLSVIj8O,ลืมไปแล้วว่าลืมยังไง (Fade),70,4gNkIyfaf2iwPgeLSVIj8O,0.569,0.455,4,-10.193,1,0.0286,0.392,1.43e-05,0.0954,0.24,108.954,262387,4,thai pop,,,,,,,
139,CHRRISSA,3eK3fsbCi7wc4hThk9wSZO,4CdW5KKyIjrpx6Hz981dUt,เลือดกรุ๊ปบี,69,4CdW5KKyIjrpx6Hz981dUt,0.545,0.732,2,-3.758,1,0.0613,0.756,0.0,0.0706,0.263,163.971,289756,4,thai pop,,,,,,,
140,PiXXiE,6HlUN1Md7UT62mNJHOYRsK,1UxVMaHEm6UJxGOg4ixSZO,ไม่ได้ก็ไม่เอา,69,1UxVMaHEm6UJxGOg4ixSZO,0.67,0.681,2,-4.394,1,0.0365,0.243,0.0,0.165,0.731,140.026,168857,4,t-pop girl group,thai pop,,,,,,
141,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,7gRFDGEzF9UkBV233yv2dc,Shut Down,79,7gRFDGEzF9UkBV233yv2dc,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,175889,3,k-pop,k-pop girl group,pop,,,,,
142,Dept,1zVBNAJivxfj3HygJZOSw3,3LejSFG20mSl4IzORHa7Ya,17,64,3LejSFG20mSl4IzORHa7Ya,0.748,0.777,10,-4.783,1,0.043,0.0471,0.00426,0.126,0.97,121.034,210875,4,thai indie rock,thai pop,,,,,,
143,PURPEECH,3xlC7Dw0uiwprXDHCU9SAu,3v5g7khNHS9726iyuI1iUs,หากจะเพียงขอ(Sincare),68,3v5g7khNHS9726iyuI1iUs,0.563,0.387,7,-8.687,1,0.037,0.729,0.0185,0.108,0.262,180.009,317656,3,thai pop,,,,,,,
145,Boyd Kosiyabong,7LiltnpnD4Q60750gWXrgB,7gKB3piJMHJPRxgpr8jSoB,เหมือนเคย (feat. Seattha Sirachaya),48,7gKB3piJMHJPRxgpr8jSoB,0.624,0.672,5,-8.344,0,0.0339,0.26,1.25e-05,0.0796,0.366,110.938,334667,4,thai pop,,,,,,,
147,VELIKA,1s5OUEKobcxAqQaDKQnRAi,467XT84TTQHkdifhD7eUgQ,หากว่าฉันได้ครอบครอง,67,467XT84TTQHkdifhD7eUgQ,0.739,0.317,6,-15.296,1,0.0946,0.822,2.52e-06,0.107,0.439,124.942,208742,3,,,,,,,,
149,Lower Mansion,0tNQk80J4jiIo3eOVvcda6,1uJbdRLz38VTAXxhyXRC85,เพลงรักในวันลา,65,1uJbdRLz38VTAXxhyXRC85,0.453,0.434,5,-6.854,0,0.026,0.522,3.04e-06,0.531,0.236,170.022,268941,3,,,,,,,,
160,Yahritza Y Su Esencia,51ZSh80McCt7vbqHouzW0A,4JdSXF2p71cr8uCY3UiJM0,Frágil,94,4JdSXF2p71cr8uCY3UiJM0,0.605,0.726,6,-4.515,1,0.0309,0.365,0.0,0.112,0.393,149.918,160518,4,sad sierreno,,,,,,,
161,Carin Leon,66ihevNkSYNzRAl44dx6jJ,25OeKzcqakFPaJlXHPE5lm,Primera Cita,81,25OeKzcqakFPaJlXHPE5lm,0.535,0.395,10,-7.805,1,0.0634,0.597,6.78e-05,0.0969,0.488,157.795,186456,3,banda,corrido,musica mexicana,sad sierreno,sierreno,,,
162,Natanael Cano,0elWFr7TW8piilVRYJUe4P,1oWkcc7hQdVYPQMyQ6AFov,Mi Bello Angel,89,1oWkcc7hQdVYPQMyQ6AFov,0.811,0.771,9,-5.956,0,0.0461,0.00551,0.0,0.0932,0.903,127.888,190667,3,corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno,,,
167,Tainy,0GM7qgcRCORpGnfcN2tCiB,4eMKD8MRroxCqugpsxCCNb,MOJABI GHOST,94,4eMKD8MRroxCqugpsxCCNb,0.805,0.707,6,-3.758,0,0.0353,0.142,3.71e-05,0.563,0.744,122.014,228197,4,pop reggaeton,reggaeton,trap latino,urbano latino,,,,
169,Oscar Maydon,3l9G1G9MxH6DaRhwLklaf5,6TBzRwnX2oYd8aOrOuyK1p,Fin de Semana,90,6TBzRwnX2oYd8aOrOuyK1p,0.699,0.541,0,-4.943,1,0.0826,0.0628,0.0,0.0916,0.365,98.395,224921,4,corrido,corridos tumbados,sierreno,,,,,
172,Chino Pacas,2rmkQLzj0k4nZdQehOUByO,3kf0WdFOalKWBkCCLJo4mA,El Gordo Trae El Mando,91,3kf0WdFOalKWBkCCLJo4mA,0.736,0.8,7,-5.38,0,0.0525,0.179,0.0,0.0498,0.961,140.253,112087,3,corrido,,,,,,,
176,Feid,2LRoIwlKmHjgvigdNGBHNo,6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,96,6XSqqQIy7Lm7SnwxS4NrGx,0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,195987,4,colombian pop,pop reggaeton,reggaeton colombiano,trap latino,urbano latino,,,
177,Eden Muñoz,1gJdf4Yybu4X5A2xYV3NMV,0qCPD6ilr9nXkI4KVZgcns,Abcdario,89,0qCPD6ilr9nXkI4KVZgcns,0.703,0.429,8,-9.076,1,0.0308,0.783,1.48e-06,0.113,0.416,129.034,220650,4,corrido,sierreno,,,,,,
179,Michelle Maciel,4WFwvZ4L8FZbt3qubbQJS6,7uuqrSuCjWxPTCVyOeGMyt,CCC,85,7uuqrSuCjWxPTCVyOeGMyt,0.711,0.914,7,-2.766,0,0.0677,0.0891,0.0,0.0749,0.939,148.056,126081,3,urbano mexicano,,,,,,,
181,Quevedo,52iwsT98xCoGgiGntTiR7K,6XbtvPmIpyCbjuT0e8cQtp,Columbia,95,6XbtvPmIpyCbjuT0e8cQtp,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,186000,4,rap canario,trap latino,urbano latino,,,,,
182,Ryan Castro,7j6DKwmjbxvpQO8h914uEz,2hn2zOA2XFlv6DSmesylrL,QUEMA,84,2hn2zOA2XFlv6DSmesylrL,0.791,0.892,0,-2.58,1,0.0521,0.0509,0.000355,0.0609,0.916,97.008,150619,4,reggaeton,trap colombiano,trap latino,urbano latino,,,,
183,Tito Double P,5eumcnUkdmGvkvcsx1WFNG,0FkD2FHEZrZIofVkY6XPFK,DEMBOW BÉLICO,86,0FkD2FHEZrZIofVkY6XPFK,0.881,0.551,2,-6.41,1,0.123,0.0205,0.16,0.19,0.196,119.951,126523,4,,,,,,,,
184,Cartel De Santa,07PdYoE4jVRF6Ut40GgVSP,55ZATsjPlTeSTNJOuW90pW,Shorty Party,87,55ZATsjPlTeSTNJOuW90pW,0.928,0.468,2,-8.196,1,0.364,0.328,4.27e-06,0.0986,0.47,96.006,265000,4,latin hip hop,mexican hip hop,,,,,,
186,Belanova,3oNy8cjBtJzLC07I70sklp,6Z0ybnsUBhbZ9ZjPW64eoF,Rosa Pastel,64,6Z0ybnsUBhbZ9ZjPW64eoF,0.811,0.614,11,-7.089,0,0.0309,0.0215,0.00491,0.431,0.662,128.016,185933,4,latin arena pop,latin pop,mexican pop,,,,,
187,KAROL G,790FomKkXshlbRYZFtlgla,0DWdj2oZMBFSzRsi2Cvfzf,TQG,94,0DWdj2oZMBFSzRsi2Cvfzf,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,199440,4,reggaeton,reggaeton colombiano,trap latino,urbano latino,,,,
189,El Charlee,2HzPgQiQIeNPhKnc1GN085,7K23M56FcDPAJzF4LR7dA4,La 701,48,7K23M56FcDPAJzF4LR7dA4,0.847,0.825,5,-4.916,1,0.0441,0.294,0.0,0.187,0.888,149.889,180210,3,,,,,,,,
190,Becky G,4obzFoKoKRHIphyHzJ35G3,5RcxRGvmYai7kpFSfxe5GY,Chanel,89,5RcxRGvmYai7kpFSfxe5GY,0.852,0.675,2,-5.738,1,0.0363,0.397,0.00317,0.0905,0.528,132.005,201993,3,latin pop,latin viral pop,rap latina,reggaeton,urbano latino,,,
199,El Chachito,6OP8Y0UsezppFkU1hZU6EJ,1Fuc3pBiPFxAeSJoO8tDh5,En Paris,86,1Fuc3pBiPFxAeSJoO8tDh5,0.702,0.483,3,-7.99,0,0.0524,0.366,0.000131,0.124,0.769,138.842,162795,3,corrido,corridos tumbados,sierreno,,,,,
200,YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,7ovUcF5uHTBRzUpB6ZOmvt,アイドル,91,7ovUcF5uHTBRzUpB6ZOmvt,0.574,0.935,1,-2.783,1,0.0926,0.112,1.07e-06,0.367,0.836,166.008,213234,4,j-pop,japanese teen pop,,,,,,
202,Vaundy,2IUl3m1H1EQ7QfNbNWvgru,10zz9RZt9DnqcxNWksRNrx,怪獣の花唄,81,10zz9RZt9DnqcxNWksRNrx,0.425,0.939,2,-3.498,1,0.054,0.00361,0.0,0.331,0.638,150.015,224806,4,j-pop,japanese soul,,,,,,
203,SPITZ,5kjGRHClVacSyllOUqU1S0,1H3qOzheTPhE7aVvJOWfvA,美しい鰭,77,1H3qOzheTPhE7aVvJOWfvA,0.545,0.913,1,-3.565,1,0.0298,0.0107,0.00029,0.245,0.747,98.047,211920,4,classic j-pop,j-pop,j-rock,,,,,
204,Tatsuya Kitani,7mvhRvEAHiCTQHUnH7fgnv,12usPU2WnqgCHAW1EK2dfd,青のすみか,81,12usPU2WnqgCHAW1EK2dfd,0.479,0.898,1,-4.809,1,0.169,0.0134,0.0,0.297,0.639,151.99,196467,4,japanese electropop,,,,,,,
205,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,170XOP1T4MvY9TLTgPw07D,Magic,72,170XOP1T4MvY9TLTgPw07D,0.671,0.758,7,-3.793,1,0.0474,0.0604,0.0,0.332,0.537,117.51,263107,4,anime rock,j-pop,j-rock,,,,,
208,OFFICIAL HIGE DANDISM,5Vo1hnCRmCM6M4thZCInCj,6wffxmLgeZTbvS1hYvLkht,Tattoo,62,6wffxmLgeZTbvS1hYvLkht,0.481,0.901,0,-5.629,1,0.163,0.0114,0.0,0.314,0.817,194.084,288100,4,anime,anime rock,j-pop,,,,,
212,MY FIRST STORY,6cutt8thPFUICMfxaYerWd,5m21ZR5lO6U0tp9KENxuCc,I'm a mess,71,5m21ZR5lO6U0tp9KENxuCc,0.485,0.946,6,-3.721,0,0.11,0.0068,0.0,0.289,0.621,130.059,251333,4,j-pop,j-rock,japanese post-hardcore,,,,,
213,Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,2vMc8rqFmqs7RFi8NDx0CJ,Garden,62,2vMc8rqFmqs7RFi8NDx0CJ,0.589,0.527,4,-8.332,1,0.0572,0.0932,0.000337,0.104,0.576,138.023,229333,4,japanese teen pop,,,,,,,
214,MAN WITH A MISSION,3NTbOmzlj2cL86XFuDVFvZ,2VBLFxCUyFp5BfmsZpxcis,絆ノ奇跡,83,2VBLFxCUyFp5BfmsZpxcis,0.436,0.951,7,-4.748,0,0.202,0.0046,0.0,0.149,0.428,169.955,223320,4,anime rock,j-pop,j-rock,,,,,
215,Conton Candy,6FuFgQvi3GNYr4yDuh4Fxq,7gUuCeZLFynSj28GCjoiGG,ファジーネーブル,76,7gUuCeZLFynSj28GCjoiGG,0.563,0.645,1,-4.53,1,0.0457,0.00845,8.06e-05,0.295,0.476,135.022,237400,4,,,,,,,,
217,natori,6WmXWHmfBMhupyIs8MSqtu,2Dzzhb1oV5ckgOjWZLraIB,Overdose,81,2Dzzhb1oV5ckgOjWZLraIB,0.733,0.598,4,-9.453,0,0.0377,0.0307,1.7e-05,0.218,0.831,118.012,197094,4,,,,,,,,
220,Tani Yuuki,0B1ce3uNrzkdm76NXI4mhX,3cBghvTcQNDNkW98Y4eGaP,W / X / Y,60,3cBghvTcQNDNkW98Y4eGaP,0.628,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,278119,3,j-pop,japanese teen pop,,,,,,
221,Yuuri,0ixzjrK1wkN2zWBXt3VW3W,7M0dIdZWN1FDcveRdoOzbZ,ビリミリオン,75,7M0dIdZWN1FDcveRdoOzbZ,0.364,0.628,10,-6.142,1,0.0319,0.238,0.0,0.0931,0.612,93.792,228760,3,j-pop,japanese singer-songwriter,japanese teen pop,,,,,
223,imase,4TaSvnT5o4REFwhqfrmK27,0bdAQ9dwLA5cJtgM05PRKW,Nagisa,77,0bdAQ9dwLA5cJtgM05PRKW,0.738,0.864,9,-4.489,1,0.0512,0.203,2.31e-06,0.147,0.951,128.048,226489,4,japanese teen pop,,,,,,,
225,QUEEN BEE,6whFEcaV75AmQMiwlfaxvc,45LUKiex0D78VuhP3Oz6mG,メフィスト,80,45LUKiex0D78VuhP3Oz6mG,0.531,0.731,2,-5.885,0,0.0522,0.0411,0.0,0.151,0.549,150.01,227320,4,anime rock,dance rock,j-rock,,,,,
226,Saucy Dog,4WqXqPmUuenMIr4QaFrZXN,4UALTBWz0OdQcjbTsjFceV,Cinderella Boy,55,4UALTBWz0OdQcjbTsjFceV,0.596,0.735,9,-6.362,1,0.0332,0.0748,0.0,0.269,0.524,108.106,234324,4,j-indie,j-pop,japanese alternative rock,,,,,
229,ヨルシカ,4UK2Lzi6fBfUi9rpDt6cik,3wJHCry960drNlAUGrJLmz,ただ君に晴れ,77,3wJHCry960drNlAUGrJLmz,0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996,198971,4,j-pop,,,,,,,
230,Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,3khEEPRyBeOUabbmOPJzAG,KICK BACK,84,3khEEPRyBeOUabbmOPJzAG,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,193495,4,anime,j-pop,,,,,,
232,back number,6rs1KAoQnFalSqSU4LTh8g,3RvdkNMcSy71m0aT6UF9Uf,水平線,73,3RvdkNMcSy71m0aT6UF9Uf,0.424,0.761,10,-3.526,1,0.0305,0.0103,0.0,0.145,0.424,145.816,288013,4,j-pop,j-rock,,,,,,
233,Aimyon,5kVZa4lFUmAQlBogl1fkd6,2piySGAWgVwsRKm60SfOmF,ai no hana,53,2piySGAWgVwsRKm60SfOmF,0.469,0.507,10,-6.21,1,0.0303,0.287,0.0,0.0773,0.469,170.028,240044,3,j-acoustic,j-pop,,,,,,
235,Macaroni Empitsu,1t17z3vfuc82cxSDMrvryJ,5W7Y92LB4jWvu9NeEQ0GZl,なんでもないよ、,74,5W7Y92LB4jWvu9NeEQ0GZl,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,219253,4,anime,j-pop,japanese alternative rock,japanese teen pop,,,,
236,MUKADE,4d1EYQLZDof8IHoNt8i9FR,69lJz2fXXptw0YU5hF3L47,KIMINOMAMA,45,69lJz2fXXptw0YU5hF3L47,0.836,0.771,7,-4.441,1,0.106,0.435,0.0,0.172,0.664,123.977,177581,4,,,,,,,,
237,Ado,6mEQK9m2krja6X1cfsAjfl,6A8NfypDHuwiLWbo4a1yca,New Genesis,69,6A8NfypDHuwiLWbo4a1yca,0.49,0.987,7,-2.279,1,0.253,0.049,3.24e-06,0.406,0.451,175.064,226813,4,j-pop,japanese teen pop,,,,,,
239,10-FEET,0QZqdhoRQkn1VphAa5eX8h,6zjk7Qbwb9DZ4ykUUoqknh,第ゼロ感,73,6zjk7Qbwb9DZ4ykUUoqknh,0.445,0.94,7,-4.16,1,0.175,2.77e-05,1.34e-05,0.32,0.349,150.082,286000,4,j-pop,j-rock,japanese punk rock,japanese ska,,,,
240,Novelbright,0jWCX6zp4RjWrmZRxJ2uri,1VHL1PIkhDwWbFc65xHwOr,愛とか恋とか,74,1VHL1PIkhDwWbFc65xHwOr,0.697,0.556,6,-5.089,1,0.0364,0.698,0.0,0.0991,0.404,89.987,232453,4,j-pop,j-rock,,,,,,
243,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,51vRumtqbkNW9wrKfESwfu,UNFORGIVEN (feat. Nile Rodgers),88,51vRumtqbkNW9wrKfESwfu,0.795,0.875,4,-4.079,0,0.0525,0.111,8.94e-05,0.107,0.375,104.008,182149,4,k-pop girl group,,,,,,,
247,IVE,6RHTUrRF63xao58xh9FXYJ,70t7Q6AYG6ZgTYmJWcnkUM,I AM,88,70t7Q6AYG6ZgTYmJWcnkUM,0.683,0.875,4,-4.866,0,0.0549,0.0115,0.0,0.084,0.384,122.002,183853,4,k-pop girl group,,,,,,,
250,Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,5GhNEr3AQtMhHGYLRgCSV5,Tere Vaaste,68,5GhNEr3AQtMhHGYLRgCSV5,0.762,0.717,7,-8.316,0,0.0372,0.315,1.87e-05,0.0914,0.958,109.996,189136,4,filmi,gujarati pop,modern bollywood,,,,,
251,Shubh,5r3wPya2PpeTTsXsGhQU8O,4eBvRhTJ2AcxCsbfTUjoRp,Cheques,87,4eBvRhTJ2AcxCsbfTUjoRp,0.742,0.627,4,-8.939,0,0.0533,0.262,1.23e-05,0.269,0.356,89.998,183757,4,desi hip hop,punjabi hip hop,,,,,,
253,Darshan Raval,2GoeZ0qOTt6kjsWW4eA6LS,2ncqKdTj6dz7tWoTMMrAtq,Mahiye Jinna Sohna,85,2ncqKdTj6dz7tWoTMMrAtq,0.567,0.54,1,-5.754,1,0.0406,0.736,3.17e-05,0.164,0.331,92.027,181250,4,desi pop,filmi,gujarati pop,modern bollywood,,,,
255,King,5NHm4TU5Twz7owibYxJfFU,1418IuVKQPTYqt7QNJ9RXN,Maan Meri Jaan,87,1418IuVKQPTYqt7QNJ9RXN,0.698,0.505,6,-8.242,0,0.0356,0.354,0.0,0.0995,0.396,95.868,194654,4,desi pop,hindi hip hop,,,,,,
257,Riar Saab,34gAaWeYZoRER7MY3KBy1Q,6Z4rRhYZVQsYKmrxD40tru,Obsessed,87,6Z4rRhYZVQsYKmrxD40tru,0.798,0.74,5,-4.099,0,0.0861,0.616,0.0,0.084,0.851,134.932,190444,4,punjabi pop,,,,,,,
258,Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,1B02UI29t3PTh3m98absaP,"Naa Ready (From ""Leo"")",85,1B02UI29t3PTh3m98absaP,0.726,0.805,1,-5.576,1,0.153,0.081,0.00784,0.0318,0.572,87.956,248182,4,desi hip hop,filmi,tamil hip hop,,,,,
259,Various Artists,0LyfQWJT6nXafLPZqxe9Of,00ake6KfnzbZ2MaRLGqsyX,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",65,00ake6KfnzbZ2MaRLGqsyX,0.271,0.726,7,-6.504,1,0.0527,0.586,0.0,0.353,0.532,87.425,277500,4,,,,,,,,
260,Sachet Tandon,6WOdPJmexxFINcKMkP2jMG,73K33p4Vyz9koXGqmL5eFs,Malang Sajna,85,73K33p4Vyz9koXGqmL5eFs,0.739,0.716,10,-4.964,1,0.037,0.232,0.0,0.33,0.871,113.943,160194,4,desi pop,filmi,modern bollywood,,,,,
261,Sharn,74RGMjbSsFv5RLj8wVx9Yv,24MMjyA3NLqCsDJfsn51eg,Mi Amor,82,24MMjyA3NLqCsDJfsn51eg,0.637,0.703,4,-5.297,0,0.0789,0.53,4.23e-06,0.11,0.553,81.99,203049,4,desi pop,,,,,,,
262,DIVINE,4Ai0pGz6GhQavjzaRhPTvz,3GEiVoaUXq468gfYs2EPfh,Chorni,82,3GEiVoaUXq468gfYs2EPfh,0.792,0.704,2,-5.706,1,0.333,0.126,0.0,0.117,0.618,90.491,181000,4,desi hip hop,desi trap,hindi hip hop,,,,,
263,Pritam,1wRPtKGflJrBx9BmLsSwlU,4UMIv5jd9gK98a39BQRD9X,Kesariya,80,4UMIv5jd9gK98a39BQRD9X,0.577,0.574,0,-6.525,1,0.0278,0.572,0.0,0.1,0.436,94.009,268165,4,filmi,indian instrumental,modern bollywood,,,,,
266,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,2FCXQHugkoHE1K3tiDu8pu,"Agar Tum Saath Ho (From ""Tamasha"")",80,2FCXQHugkoHE1K3tiDu8pu,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,341055,4,filmi,modern bollywood,,,,,,
267,Aditya A,4wwYGgSpeBtvk5WX6HBqzw,0snQrp1VaY5Pj1YIHRJpRJ,Chaand Baaliyan,82,0snQrp1VaY5Pj1YIHRJpRJ,0.729,0.396,0,-8.98,1,0.0359,0.796,0.0,0.104,0.886,97.281,103265,4,desi pop,hindi indie,,,,,,
268,Javed-Mohsin,2zvJLk0gTH7r7A5Q6X5Bq8,51DEaelXeJJ6cFFYbX8Hal,Zihaal e Miskin,83,51DEaelXeJJ6cFFYbX8Hal,0.581,0.632,9,-7.166,0,0.0331,0.259,0.0,0.0903,0.386,128.844,243953,4,desi pop,modern bollywood,,,,,,
269,Sunny Yaduvanshi,07XZWWsqwn2QshmfoYzKIU,4JvziZ2kQsbzfvRQtpYfmJ,Yadav Brand 2,78,4JvziZ2kQsbzfvRQtpYfmJ,0.775,0.612,11,-6.329,0,0.231,0.359,0.0,0.106,0.776,173.953,174253,4,,,,,,,,
270,Mithoon,09UmIX92EUH9hAK4bxvHx6,03hJuEQpEQERrHpjcXKWzJ,"Tumhe Kitna Pyaar Karte (From ""Bawaal"")",78,03hJuEQpEQERrHpjcXKWzJ,0.602,0.374,10,-9.849,0,0.0328,0.924,7.53e-06,0.084,0.388,101.855,305232,4,filmi,modern bollywood,,,,,,
272,Anuv Jain,4gdMJYnopf2nEUcanAwstx,5iCY0TXNImK4hyKfcplQsg,Baarishein,82,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310,4,desi pop,hindi indie,indian indie,indian singer-songwriter,,,,
274,Kaifi Khalil,1n9EM0Y4A89vuRiA93gSS9,4VsP4Dm8gsibRxB5I2hEkw,Kahani Suno 2.0,84,4VsP4Dm8gsibRxB5I2hEkw,0.577,0.379,11,-13.235,1,0.0374,0.909,0.000586,0.0986,0.26,139.585,173638,3,balochi pop,,,,,,,
277,Chani Nattan,1sSYaQBOI71QZDZ9OWW3hp,3wz2vWhYnnBoFmgMkqtzLy,Daku,83,3wz2vWhYnnBoFmgMkqtzLy,0.847,0.558,8,-5.855,0,0.0663,0.325,0.0,0.135,0.495,98.062,131078,4,punjabi pop,,,,,,,
278,Ikky,3nqS8jzqmsPKFJTp0BOIel,42TMa2hgBNjte4uV7jNCnQ,Baller,83,42TMa2hgBNjte4uV7jNCnQ,0.711,0.702,5,-10.048,1,0.233,0.00487,0.0163,0.0932,0.674,180.219,148188,4,punjabi pop,,,,,,,
279,B Praak,56SjZARoEvag3RoKWIb16j,6t7PuZfHAtNGheWisgUq3I,Kya Loge Tum,82,6t7PuZfHAtNGheWisgUq3I,0.69,0.738,0,-4.046,1,0.0533,0.189,0.0,0.109,0.642,113.824,233684,3,desi pop,filmi,punjabi pop,,,,,
280,Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt,2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",80,2rOnSn2piaqLAlYjtfUBlY,0.72,0.63,10,-5.549,1,0.0413,0.615,0.0,0.108,0.512,81.009,230292,4,filmi,modern bollywood,,,,,,
282,Cheema Y,0uOUeC51AxGnP6hB8gurwt,610keNiNVTIkYD0CqeSerg,California Love,80,610keNiNVTIkYD0CqeSerg,0.648,0.609,1,-6.467,0,0.314,0.126,2.28e-06,0.107,0.405,177.981,188880,4,punjabi pop,,,,,,,
284,Sachet-Parampara,1SyKki7JI1AZNKwgNMkn25,5aMLADD1Ho6Ogq8s8mIzB9,"Ram Siya Ram (From ""Adipurush"")",79,5aMLADD1Ho6Ogq8s8mIzB9,0.426,0.617,1,-6.377,0,0.0278,0.599,6.25e-05,0.181,0.52,81.982,230092,4,desi pop,filmi,modern bollywood,,,,,
285,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,228BxWXUYQPJrJYHDLOHkj,Gasolina,89,228BxWXUYQPJrJYHDLOHkj,0.852,0.797,0,-6.543,1,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,192600,4,latin hip hop,reggaeton,trap latino,urbano latino,,,,
286,Laddi Chahal,3lmszXxkp47K9kDCRRPU8p,03yKEFruN3BS2coglBtt2N,Rubicon Drill,82,03yKEFruN3BS2coglBtt2N,0.868,0.745,11,-5.82,0,0.268,0.187,0.000342,0.431,0.762,139.9,188571,4,punjabi pop,,,,,,,
289,AP Dhillon,6LEG9Ld1aLImEFEVHdWNSB,29m79w9xPMH4YCD6r8JSmV,Excuses,82,29m79w9xPMH4YCD6r8JSmV,0.837,0.717,5,-7.749,0,0.0822,0.0842,0.0,0.149,0.494,94.984,176233,4,desi hip hop,desi pop,punjabi hip hop,punjabi pop,,,,
291,Madhur Sharma,2kfi47LWmlXzQ3p3kWonfQ,3mUkVsovIuscQlSoMhmAZt,Kali Kali Zulfon Ke (Lo-Fi),78,3mUkVsovIuscQlSoMhmAZt,0.358,0.463,7,-7.075,1,0.0375,0.816,0.0,0.155,0.15,152.353,77253,3,desi pop,,,,,,,
293,Vishal Mishra,5wJ1H6ud777odtZl5gG507,0645eBDehHcqfiF15hscQV,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",74,0645eBDehHcqfiF15hscQV,0.578,0.444,8,-11.447,0,0.0644,0.44,0.0,0.146,0.36,76.032,223390,4,desi pop,filmi,modern bollywood,,,,,
295,Payal Dev,6FtZhorjCMfkaVJ7kKdmq7,3dpM3ijJz0vGzbkh5DcMXz,"Naseeb Se (From ""Satyaprem Ki Katha"")",79,3dpM3ijJz0vGzbkh5DcMXz,0.557,0.599,9,-6.309,0,0.0447,0.556,1.22e-06,0.103,0.392,149.785,184312,4,desi pop,filmi,modern bollywood,,,,,
298,Sidhu Moose Wala,4PULA4EFzYTrxYvOVlwpiQ,5W7DOVGQLTigu09afW7QMT,295,82,5W7DOVGQLTigu09afW7QMT,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,0.432,91.366,270000,4,desi hip hop,pakistani hip hop,punjabi hip hop,punjabi pop,,,,
301,Keung To,0DwdA5ZgTJcIQ2uIhc110D,2CwGJLH5jTBlVQhMfjCc6e,Dummy,77,2CwGJLH5jTBlVQhMfjCc6e,0.631,0.865,3,-4.415,0,0.221,0.11,0.0,0.0866,0.51,172.716,246144,4,cantopop,hk-pop,,,,,,
306,Anson Lo 盧瀚霆,2G4Ntbg3dYqkUAGrMUZ0U7,7nJlkwxJSNDqO20WWeLuNX,Nah,70,7nJlkwxJSNDqO20WWeLuNX,0.644,0.855,5,-3.426,0,0.248,0.073,0.0,0.132,0.67,155.93,233188,4,hk-pop,,,,,,,
310,陳卓賢 Ian,1qW9Pi35NXnu7Q8KWyVYe6,3mVO7XaN9ULGNuXteiCOz3,再見 寧靜海,68,3mVO7XaN9ULGNuXteiCOz3,0.466,0.471,10,-8.524,1,0.039,0.5,0.0,0.113,0.229,146.879,250677,4,cantopop,hk-pop,,,,,,
