id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7ro0hRteUMfnOioTFI5TG1,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,231704,4
6Um358vY92UBv5DloTRX9L,0.491,0.643,10,-4.309,1,0.0442,0.187,0.0,0.109,0.779,162.469,169419,4
4eMKD8MRroxCqugpsxCCNb,0.805,0.707,6,-3.758,0,0.0353,0.142,3.71e-05,0.563,0.744,122.014,228197,4
7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4
6TBzRwnX2oYd8aOrOuyK1p,0.699,0.541,0,-4.943,1,0.0826,0.0628,0.0,0.0916,0.365,98.395,224921,4
6f8wbdo8KU5ETWJA7lapgS,0.782,0.812,0,-6.613,1,0.0469,0.567,0.00045,0.101,0.7,122.063,212976,3
1piak4R3yW4otWWyaSqyCH,0.662,0.801,8,-6.397,0,0.0859,0.256,0.0,0.126,0.827,114.922,194519,3
3kf0WdFOalKWBkCCLJo4mA,0.736,0.8,7,-5.38,0,0.0525,0.179,0.0,0.0498,0.961,140.253,112087,3
2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,239845,4
0cNSq9T5l8gZnpY14rsTR2,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,184066,3
0xGZjxYqcNQ8WqxyeZ4eSN,0.758,0.816,5,-7.284,1,0.0406,0.136,3.64e-06,0.326,0.915,139.959,238447,3
6XSqqQIy7Lm7SnwxS4NrGx,0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,195987,4
0qCPD6ilr9nXkI4KVZgcns,0.703,0.429,8,-9.076,1,0.0308,0.783,1.48e-06,0.113,0.416,129.034,220650,4
0UbesRsX2TtiCeamOIVEkp,0.628,0.668,8,-2.722,1,0.117,0.329,0.0,0.139,0.845,148.746,136913,3
7uuqrSuCjWxPTCVyOeGMyt,0.711,0.914,7,-2.766,0,0.0677,0.0891,0.0,0.0749,0.939,148.056,126081,3
1VvoSJiPG9dFsDQjTkACvG,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,174943,3
6XbtvPmIpyCbjuT0e8cQtp,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,186000,4
2hn2zOA2XFlv6DSmesylrL,0.791,0.892,0,-2.58,1,0.0521,0.0509,0.000355,0.0609,0.916,97.008,150619,4
0FkD2FHEZrZIofVkY6XPFK,0.881,0.551,2,-6.41,1,0.123,0.0205,0.16,0.19,0.196,119.951,126523,4
55ZATsjPlTeSTNJOuW90pW,0.928,0.468,2,-8.196,1,0.364,0.328,4.27e-06,0.0986,0.47,96.006,265000,4
0IKeDy5bT9G0bA7ZixRT4A,0.529,0.602,7,-4.629,1,0.0458,0.299,0.0,0.0716,0.756,157.643,271862,4
6Z0ybnsUBhbZ9ZjPW64eoF,0.811,0.614,11,-7.089,0,0.0309,0.0215,0.00491,0.431,0.662,128.016,185933,4
0DWdj2oZMBFSzRsi2Cvfzf,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,199440,4
5PLqXnvHH7Gh6CcfiUEr7e,0.6,0.6,2,-7.715,0,0.115,0.00388,0.0,0.122,0.595,90.435,194920,3
7K23M56FcDPAJzF4LR7dA4,0.847,0.825,5,-4.916,1,0.0441,0.294,0.0,0.187,0.888,149.889,180210,3
5RcxRGvmYai7kpFSfxe5GY,0.852,0.675,2,-5.738,1,0.0363,0.397,0.00317,0.0905,0.528,132.005,201993,3
3B0swL7Qil9bB7eKzBREBK,0.632,0.729,7,-3.066,1,0.112,0.414,0.0,0.0987,0.862,110.238,162676,3
17js0w8GTkTUFGFM6PYvBd,0.758,0.812,4,-3.272,0,0.0854,0.188,0.0,0.0564,0.795,144.908,166821,4
4yjeRuoVickg1G87LWeRes,0.702,0.68,7,-5.451,0,0.0373,0.24,0.0,0.111,0.86,122.895,204253,3
1RGlfmdvcfatN0ZLOmzanS,0.571,0.567,8,-6.873,1,0.0994,0.431,0.0,0.129,0.967,165.332,196500,3
6X5WZbJzXtk6aO03HlxuZ9,0.698,0.664,8,-4.027,0,0.0406,0.302,0.0,0.268,0.747,144.981,205300,3
505v13epFXodT9fVAJ6h8k,0.92,0.696,6,-3.356,0,0.0742,0.183,0.0,0.149,0.545,106.966,170480,4
5pnj8s1C1LnwkiIRrsLXSg,0.718,0.726,7,-5.91,0,0.0403,0.0889,0.0,0.294,0.925,142.986,188075,3
0lc2neV7ZzjZExwCIVG2B3,0.782,0.793,9,-5.177,0,0.0387,0.4,6.98e-06,0.0824,0.869,132.997,155551,3
1Fuc3pBiPFxAeSJoO8tDh5,0.702,0.483,3,-7.99,0,0.0524,0.366,0.000131,0.124,0.769,138.842,162795,3
