name,artist_id,track_id,track_name,popularity
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,7mXuWTczZNxG5EDcjFEuJR,GÉNESIS,93
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,1UMm1Qs3u59Wvk53zBUE8r,SABOR FRESA,94
Myke Towers,7iK8PXO48WeuP03g8YR51W,7ABLbnD53cQK00mhcaOUVG,LA VIDA ES UNA,98
Junior H,7Gi6gjaWy3DxyilpF1a8Is,1haJsMtoBhHfvuM7XWuT3W,El Azul,95
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,368eeEO3Y2uZUQ6S5oIjcu,TQM,95
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,7bPp2NmpmyhLJ7zWazAXMu,GÉNESIS,92
Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,6pD0ufEQq0xdHSsRbg9LBK,un x100to,98
Yng Lvcas,1NNRWkhwmcXRimFYSBpB1y,2UW7JaomAMuX9pZrjVpHAU,La Bebe (Remix),99
Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,3qQbCzHBycnDpGskqOWY0E,DESVELADO,93
Bizarrap,716NhGYqD1jl2wI1Qkgq36,5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55",96
Yahritza Y Su Esencia,51ZSh80McCt7vbqHouzW0A,4JdSXF2p71cr8uCY3UiJM0,Frágil,94
Carin Leon,66ihevNkSYNzRAl44dx6jJ,25OeKzcqakFPaJlXHPE5lm,Colmillo De Leche,81
Natanael Cano,0elWFr7TW8piilVRYJUe4P,1oWkcc7hQdVYPQMyQ6AFov,Nata Montana,88
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,3HOKxuTDmNVmIlCIpBiD8m,GÉNESIS,88
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,3RA55zrRkyPK8Fd86hrMy8,GÉNESIS,89
Bad Bunny,4q3ewBCX7sLwd24euuV69X,7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,99
Carin Leon,66ihevNkSYNzRAl44dx6jJ,6Um358vY92UBv5DloTRX9L,Que Vuelvas,91
Tainy,0GM7qgcRCORpGnfcN2tCiB,4eMKD8MRroxCqugpsxCCNb,DATA,93
