name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5"
"Oscar Maydon",3l9G1G9MxH6DaRhwLklaf5,6TBzRwnX2oYd8aOrOuyK1p,"Fin de Semana",90,6TBzRwnX2oYd8aOrOuyK1p,0.699,0.541,0,-4.943,1,0.0826,0.0628,0.0,0.0916,0.365,98.395,224921,4,corrido,"corridos tumbados",sierreno,"",""
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,6f8wbdo8KU5ETWJA7lapgS,BYE,82,6f8wbdo8KU5ETWJA7lapgS,0.782,0.812,0,-6.613,1,0.0469,0.567,0.00045,0.101,0.7,122.063,212976,3,"sad sierreno","","","",""
"Junior H",7Gi6gjaWy3DxyilpF1a8Is,1piak4R3yW4otWWyaSqyCH,"El Tsurito",88,1piak4R3yW4otWWyaSqyCH,0.662,0.801,8,-6.397,0,0.0859,0.256,0.0,0.126,0.827,114.922,194519,3,corrido,"corridos tumbados","musica mexicana","sad sierreno",sierreno
"Chino Pacas",2rmkQLzj0k4nZdQehOUByO,3kf0WdFOalKWBkCCLJo4mA,"El Gordo Trae El Mando",91,3kf0WdFOalKWBkCCLJo4mA,0.736,0.8,7,-5.38,0,0.0525,0.179,0.0,0.0498,0.961,140.253,112087,3,corrido,"","","",""
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,2VzCjpKvPB1l1tqLndtAQa,"Por las Noches",91,2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,239845,4,"sad sierreno","","","",""
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,0cNSq9T5l8gZnpY14rsTR2,PRC,80,0cNSq9T5l8gZnpY14rsTR2,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,184066,3,"sad sierreno","","","",""
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,0xGZjxYqcNQ8WqxyeZ4eSN,RUBICON,87,0xGZjxYqcNQ8WqxyeZ4eSN,0.758,0.816,5,-7.284,1,0.0406,0.136,3.64e-06,0.326,0.915,139.959,238447,3,"sad sierreno","","","",""
Feid,2LRoIwlKmHjgvigdNGBHNo,6XSqqQIy7Lm7SnwxS4NrGx,"Classy 101",96,6XSqqQIy7Lm7SnwxS4NrGx,0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,195987,4,"colombian pop","pop reggaeton","reggaeton colombiano","trap latino","urbano latino"
"Eden Muñoz",1gJdf4Yybu4X5A2xYV3NMV,0qCPD6ilr9nXkI4KVZgcns,Abcdario,89,0qCPD6ilr9nXkI4KVZgcns,0.703,0.429,8,-9.076,1,0.0308,0.783,1.48e-06,0.113,0.416,129.034,220650,4,corrido,sierreno,"","",""
"Fuerza Regida",0ys2OFYzWYB5hRDLCsBqxt,0UbesRsX2TtiCeamOIVEkp,"Ch y la Pizza",86,0UbesRsX2TtiCeamOIVEkp,0.628,0.668,8,-2.722,1,0.117,0.329,0.0,0.139,0.845,148.746,136913,3,corrido,"corridos tumbados","sad sierreno",sierreno,""
