name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4"
BTS,3Nrfpe0tUJi4K4DXYWgMUX,5IAESfJjmOYu7cHyX557kz,"Take Two",94,5IAESfJjmOYu7cHyX557kz,0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,229953,4,k-pop,"k-pop boy group",pop,""
TAEYANG,6udveWUgX4vu75FF0DTrXV,5HrIcZOo1DysX53qDRlRnt,"Shoong! (feat. LISA of BLACKPINK)",79,5HrIcZOo1DysX53qDRlRnt,0.763,0.699,11,-6.118,0,0.0554,0.00789,0.0,0.409,0.255,110.01,205101,4,k-pop,"korean r&b","",""
Cocktail,6JrR3zrG0NQiXb9N9XSyGb,38uarkAk3Y13onWxwj0MIq,"ไม่เป็นรอง",71,38uarkAk3Y13onWxwj0MIq,0.418,0.634,9,-6.664,1,0.0362,0.624,0.0,0.128,0.375,186.026,293226,4,"thai pop","thai rock","",""
DIDIxDADA,2wd5kKWvp9e1i7rBtvvGSc,7KmY6wBpheP60rFEJPJBqN,"จังหวะตกหลุมรัก - Magic Moment",71,7KmY6wBpheP60rFEJPJBqN,0.563,0.424,6,-6.757,1,0.0453,0.503,0.0,0.196,0.279,188.014,188617,3,"thai pop","","",""
JUNENOM,2UFwI4H1ZRWRRCdsxC9N7N,7cwlsNRPvS8v5IqgdScwM8,"กาลครั้งนึง",66,7cwlsNRPvS8v5IqgdScwM8,0.638,0.188,7,-15.922,1,0.0526,0.853,0.0,0.137,0.368,75.125,313938,4,"","","",""
YEW,2xsBUJ327d3iC1LvL5hYrQ,0ZcyX8hFV1jdJNWOI8mMXF,Summertime,71,0ZcyX8hFV1jdJNWOI8mMXF,0.562,0.325,7,-13.669,1,0.0314,0.87,2.39e-05,0.0903,0.474,131.799,246818,3,"thai indie rock","thai pop","",""
"First Anuwat",4KjqrvqKO5fbI5yDR5yzny,7jq0O5rfrzEIqNOsc7v9JT,"เดินมาส่ง - BYE",70,7jq0O5rfrzEIqNOsc7v9JT,0.689,0.721,7,-6.583,1,0.0589,0.244,0.0,0.31,0.307,92.067,205435,4,"thai pop","","",""
"Three Man Down",1qAOsY7jv9GFTv4HoVof5P,3vdZ30MzgeTe5PiJXEmqjr,"ข้างกัน (City)",71,3vdZ30MzgeTe5PiJXEmqjr,0.469,0.727,2,-7.484,1,0.0263,0.246,0.000918,0.27,0.341,176.011,296000,4,"thai indie pop","thai pop","",""
"Pop Pongkool",1C6qssOWal7Sii2guMg0mx,03Yp2uEOtPGHQ6E9XSjmyv,"สลักจิต",71,03Yp2uEOtPGHQ6E9XSjmyv,0.544,0.582,11,-6.846,1,0.0375,0.409,4.47e-06,0.342,0.359,162.075,264444,4,"thai pop","","",""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer",100,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4,pop,"","",""
"sarah salola",70ircOPIxsddNpd8Vgq23E,5DMALWZOGyyc7noptzvF2j,"ยินดี - เพลงประกอบละครมาตาลดา ช่อง 3",63,5DMALWZOGyyc7noptzvF2j,0.579,0.482,1,-9.512,0,0.0512,0.572,1.11e-06,0.238,0.465,80.006,197250,4,"thai pop","","",""
Musketeers,0OjRa6r1EIPF5RZPy1SGz9,3XCoEJvCYqTbM8bhples8N,"พิจารณา (Consider)",70,3XCoEJvCYqTbM8bhples8N,0.77,0.677,10,-6.427,1,0.0589,0.526,0.000483,0.128,0.942,135.982,246838,4,"deep german indie","thai pop","",""
