name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6","Genre 7"
"David Guetta",1Cs0zKBU1kc0i8ypK3B9ai,4uUG5RXrOk84mYEfFvj3cK,"I'm Good (Blue)",95,4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238,4,"big room","dance pop",edm,pop,"pop dance","",""
"Harry Styles",6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e,"As It Was",93,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,pop,"","","","","",""
"FIFTY FIFTY",4GJ6xDCF5jaUqD6avOuQT6,7FbrGaHYVDmfr7KoLIZnQ7,"Cupid - Twin Ver.",97,7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,174253,4,"k-pop girl group","","","","","",""
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,4h9wh7iOZ0GGn8QVp4RAOB,"I Ain't Worried",95,4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4,"piano rock",pop,"","","","",""
"Luke Combs",718COspgdWOnwOFpJHRZHS,48UKTR66uUOT9LaUvooTNx,"The Kind of Love We Make",84,48UKTR66uUOT9LaUvooTNx,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,224427,4,"contemporary country",country,"","","","",""
"Metro Boomin",0iEtIxbK0KxaSlF7G42ZOp,2dHHgzDwk4BJdRwy9uXhTO,"Creepin' (with The Weeknd & 21 Savage)",95,2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520,4,"hip hop",rap,"","","","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,3cBsEDNhFI9E82vPj3kvi3,"Wasted On You",88,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3,"contemporary country","","","","","",""
"Troye Sivan",3WGpXCj9YhhfX11TToZcXP,3xIMkM5LgbVDkpO74O3Np3,Rush,88,3xIMkM5LgbVDkpO74O3Np3,0.742,0.839,5,-7.614,0,0.0618,0.00306,4.2e-05,0.106,0.346,126.03,156391,4,"australian pop",pop,"viral pop","","","",""
"Dua Lipa",6M2wZ9GZgrQXHCFfjv46we,1vYXt7VSjH9JIM5oRRo7vA,"Dance The Night (From Barbie The Album)",95,1vYXt7VSjH9JIM5oRRo7vA,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,176579,4,"dance pop",pop,"uk pop","","","",""
"Post Malone",246dkjvS1zLTtiykXe5h60,3t0ic4mkhvhamrKDkulB8v,Overdrive,86,3t0ic4mkhvhamrKDkulB8v,0.555,0.729,1,-5.062,1,0.0443,0.000374,0.000139,0.347,0.482,139.864,147680,4,"dfw rap","melodic rap",pop,rap,"","",""
Drake,3TVXtAsR1Inumwj472S9r4,3F5CgOj3wFlRv51JsHbxhe,"Jimmy Cooks (feat. 21 Savage)",91,3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4,"canadian hip hop","canadian pop","hip hop",rap,"toronto rap","",""
"Glass Animals",4yvcSjfu4PC0CYQyLy4wSq,3USxtqRwSYz57Ewm6wWRMp,"Heat Waves",93,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,"gauze pop",indietronica,"modern rock","pov: indie","shiver pop","",""
"Post Malone",246dkjvS1zLTtiykXe5h60,0RiRZpuVRbi7oqRdSMwhQY,"Sunflower - Spider-Man: Into the Spider-Verse",88,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4,"dfw rap","melodic rap",pop,rap,"","",""
"Post Malone",246dkjvS1zLTtiykXe5h60,5w40ZYhbBMAlHYNDaVJIUu,Chemical,91,5w40ZYhbBMAlHYNDaVJIUu,0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,184013,4,"dfw rap","melodic rap",pop,rap,"","",""
"J. Cole",6l3HvQ5sa6mXTsMTB19rO5,68Dni7IE4VyPkTOH9mRWHr,"No Role Modelz",92,68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,4,"conscious hip hop","hip hop","north carolina hip hop",rap,"","",""
Drake,3TVXtAsR1Inumwj472S9r4,7aRCf5cLOFN1U7kvtChY1G,"Search & Rescue",90,7aRCf5cLOFN1U7kvtChY1G,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113,4,"canadian hip hop","canadian pop","hip hop",rap,"toronto rap","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,0PAcdVzhPO4gq1Iym9ESnK,"Thinkin’ Bout Me",88,0PAcdVzhPO4gq1Iym9ESnK,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,177388,4,"contemporary country","","","","","",""
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,7KA4W4McWYRpgf0fWsJZWB,"See You Again (feat. Kali Uchis)",95,7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4,"hip hop",rap,"","","","",""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,95,0V3wPSX9ygBnCm8psDIegu,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690,4,pop,"","","","","",""
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,6AQbmUe0Qwf5PZnt4HmTXv,"Boy's a Liar Pt. 2",94,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013,4,"bedroom pop","","","","","",""
"David Guetta",1Cs0zKBU1kc0i8ypK3B9ai,3BKD1PwArikchz2Zrlp1qi,"Baby Don't Hurt Me",94,3BKD1PwArikchz2Zrlp1qi,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018,4,"big room","dance pop",edm,pop,"pop dance","",""
"Metro Boomin",0iEtIxbK0KxaSlF7G42ZOp,2Hh3ETdQKrmSI3QS0hme7g,"Too Many Nights (feat. Don Toliver & with Future)",91,2Hh3ETdQKrmSI3QS0hme7g,0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920,4,"hip hop",rap,"","","","",""
"Luke Combs",718COspgdWOnwOFpJHRZHS,1mMLMZYXkMueg65jRRWG1l,"When It Rains It Pours",86,1mMLMZYXkMueg65jRRWG1l,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,4,"contemporary country",country,"","","","",""
"Lil Durk",3hcs9uc56yIGFCSy9leWe7,1fXnu2HzxbDtoyvFPWG3Bw,"Stand By Me (feat. Morgan Wallen)",86,1fXnu2HzxbDtoyvFPWG3Bw,0.756,0.582,11,-7.726,1,0.0343,0.0592,0.0,0.161,0.605,134.07,218489,4,"chicago drill","chicago rap",drill,"hip hop",rap,trap,""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,7KokYm8cMIXCsGVmUvKtqf,Karma,92,7KokYm8cMIXCsGVmUvKtqf,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,204852,4,pop,"","","","","",""
"Metro Boomin",0iEtIxbK0KxaSlF7G42ZOp,5rurggqwwudn9clMdcchxT,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",93,5rurggqwwudn9clMdcchxT,0.631,0.535,0,-7.836,1,0.0842,0.464,0.0,0.115,0.22,140.127,219453,4,"hip hop",rap,"","","","",""
"Noah Kahan",2RQXRUsr4IW1f3mKyKsy4B,0caJ2wkqp4UmXBwdR2JvB5,"Dial Drunk",87,0caJ2wkqp4UmXBwdR2JvB5,0.693,0.595,8,-7.578,1,0.0311,0.0969,0.0,0.113,0.646,112.02,213817,4,"pov: indie","singer-songwriter pop","","","","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,6foY66mWZN0pSRjZ408c00,"Whiskey Glasses",86,6foY66mWZN0pSRjZ408c00,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4,"contemporary country","","","","","",""
Miguel,360IAlyVv4PCEVjgyMZrxK,0JXXNGljqupsJaZsgSbMZV,"Sure Thing",91,0JXXNGljqupsJaZsgSbMZV,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,195373,4,r&b,"","","","","",""
"Charlotte Cardin",1G0YV9WooUBjrwDq0Q7EFK,0ELnNmc1vQFW3aPEzQ5zOg,Confetti,65,0ELnNmc1vQFW3aPEzQ5zOg,0.798,0.496,3,-5.825,1,0.106,0.539,1.21e-06,0.325,0.448,111.055,184650,4,"canadian pop","indie quebecois","","","","",""
"Tory Lanez",2jku7tDXc6XoB6MO2hFuqg,3azJifCSqg9fRij2yKIbWz,"The Color Violet",90,3azJifCSqg9fRij2yKIbWz,0.645,0.534,6,-10.8,0,0.0479,0.157,0.0,0.0863,0.463,105.02,226467,4,"canadian hip hop","canadian trap","melodic rap",r&b,rap,"toronto rap",trap
