genres,count
afrobeats,38
nigerian pop,36
viral afropop,6
afropop,9
azontobeats,6
ghanaian hip hop,4
afro drill,4
afroswing,3
grime,3
uk hip hop,4
nigerian hip hop,3
alte,1
igbo pop,1
azonto,2
ghanaian alternative,1
ghanaian pop,1
atl hip hop,1
melodic rap,1
rap,2
trap,2
chicago drill,1
chicago rap,1
drill,1
hip hop,1
