genres,count
funk carioca,4
funk das antigas,1
sertanejo universitario,19
,1
funk paulista,2
funk rj,5
,1
funk mtg,2
,1
trap brasileiro,9
,1
agronejo,18
,1
sertanejo,18
,1
sertanejo pop,2
,1
arrocha,18
,1
,1
,1
,1
pagode,1
pagode novo,1
,1
,1
,1
,1
,1
,1
pop nacional,3
,1
k-pop,1
,1
,1
,1
pop teen brasileiro,1
,1
,1
,1
,1
,1
,1
,1
trap funk,3
,1
,1
r&b brasileiro,1
rap cearense,1
,1
,1
,1
forro,1
,1
funk 150 bpm,1
,1
,1
pagode baiano,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
