name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4"
"Sunny Yaduvanshi",07XZWWsqwn2QshmfoYzKIU,4JvziZ2kQsbzfvRQtpYfmJ,"Yadav Brand 2",78,4JvziZ2kQsbzfvRQtpYfmJ,0.775,0.612,11,-6.329,0,0.231,0.359,0.0,0.106,0.776,173.953,174253,4,"","","",""
Mithoon,09UmIX92EUH9hAK4bxvHx6,03hJuEQpEQERrHpjcXKWzJ,"Tumhe Kitna Pyaar Karte (From ""Bawaal"")",78,03hJuEQpEQERrHpjcXKWzJ,0.602,0.374,10,-9.849,0,0.0328,0.924,7.53e-06,0.084,0.388,101.855,305232,4,filmi,"modern bollywood","",""
"Darshan Raval",2GoeZ0qOTt6kjsWW4eA6LS,0rMeOAvbQZ2RTG4B6L1M4p,"Asal Mein",81,0rMeOAvbQZ2RTG4B6L1M4p,0.656,0.551,8,-6.43,1,0.0299,0.721,1.26e-06,0.0947,0.329,114.106,224240,4,"desi pop",filmi,"gujarati pop","modern bollywood"
"Anuv Jain",4gdMJYnopf2nEUcanAwstx,5iCY0TXNImK4hyKfcplQsg,Baarishein,82,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310,4,"desi pop","hindi indie","indian indie","indian singer-songwriter"
Pritam,1wRPtKGflJrBx9BmLsSwlU,4blqlsA1uf2d2I40E90EUC,"Tere Hawaale (From ""Laal Singh Chaddha"")",81,4blqlsA1uf2d2I40E90EUC,0.589,0.522,9,-10.649,1,0.0391,0.642,2.74e-05,0.0992,0.31,109.094,346291,4,filmi,"indian instrumental","modern bollywood",""
"Kaifi Khalil",1n9EM0Y4A89vuRiA93gSS9,4VsP4Dm8gsibRxB5I2hEkw,"Kahani Suno 2.0",84,4VsP4Dm8gsibRxB5I2hEkw,0.577,0.379,11,-13.235,1,0.0374,0.909,0.000586,0.0986,0.26,139.585,173638,3,"balochi pop","","",""
Pritam,1wRPtKGflJrBx9BmLsSwlU,2ZD4aIEepqZsdxPxLSuUhm,"Tere Pyaar Mein",84,2ZD4aIEepqZsdxPxLSuUhm,0.679,0.748,9,-5.487,0,0.054,0.111,0.0,0.183,0.406,118.945,265108,4,filmi,"indian instrumental","modern bollywood",""
Shubh,5r3wPya2PpeTTsXsGhQU8O,08Isz2ETWSBhvIl8UpKYsp,"No Love",84,08Isz2ETWSBhvIl8UpKYsp,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,170388,4,"desi hip hop","punjabi hip hop","",""
"Chani Nattan",1sSYaQBOI71QZDZ9OWW3hp,3wz2vWhYnnBoFmgMkqtzLy,Daku,83,3wz2vWhYnnBoFmgMkqtzLy,0.847,0.558,8,-5.855,0,0.0663,0.325,0.0,0.135,0.495,98.062,131078,4,"punjabi pop","","",""
Ikky,3nqS8jzqmsPKFJTp0BOIel,42TMa2hgBNjte4uV7jNCnQ,Baller,83,42TMa2hgBNjte4uV7jNCnQ,0.711,0.702,5,-10.048,1,0.233,0.00487,0.0163,0.0932,0.674,180.219,148188,4,"punjabi pop","","",""
"B Praak",56SjZARoEvag3RoKWIb16j,6t7PuZfHAtNGheWisgUq3I,"Kya Loge Tum",82,6t7PuZfHAtNGheWisgUq3I,0.69,0.738,0,-4.046,1,0.0533,0.189,0.0,0.109,0.642,113.824,233684,3,"desi pop",filmi,"punjabi pop",""
"Tanishk Bagchi",4f7KfxeHq9BiylGmyXepGt,2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",80,2rOnSn2piaqLAlYjtfUBlY,0.72,0.63,10,-5.549,1,0.0413,0.615,0.0,0.108,0.512,81.009,230292,4,filmi,"modern bollywood","",""
Pritam,1wRPtKGflJrBx9BmLsSwlU,1smFN2CLqGROu0J0UyvDfL,Shayad,79,1smFN2CLqGROu0J0UyvDfL,0.483,0.468,8,-7.642,1,0.0341,0.784,0.0,0.152,0.319,135.875,247941,4,filmi,"indian instrumental","modern bollywood",""
"Cheema Y",0uOUeC51AxGnP6hB8gurwt,610keNiNVTIkYD0CqeSerg,"California Love",80,610keNiNVTIkYD0CqeSerg,0.648,0.609,1,-6.467,0,0.314,0.126,2.28e-06,0.107,0.405,177.981,188880,4,"punjabi pop","","",""
"Various Artists",0LyfQWJT6nXafLPZqxe9Of,4QyX8CBSjcoq4iMZuvifyF,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",59,4QyX8CBSjcoq4iMZuvifyF,0.821,0.823,2,-5.455,1,0.1,0.235,0.0,0.207,0.479,107.953,213611,4,"","","",""
