name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6","Genre 7"
Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,88,4sqpSDnTrbS8v7RMNCUyqS,0.418,0.925,1,-2.941,1,0.385,0.396,0.0,0.766,0.627,71.49,169836,4,agronejo,arrocha,pop nacional,sertanejo,sertanejo universitario
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),98,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4,k-pop,,,,
MC Caverinha,7tojcuXcZ7eBlQjbAc65Ee,12YCtLHGk6tP6RbHDHflCs,Cartão Black,87,12YCtLHGk6tP6RbHDHflCs,0.842,0.468,9,-8.572,0,0.637,0.255,0.0,0.202,0.547,107.727,159973,4,trap brasileiro,,,,
Marília Mendonça,1yR65psqiazQpeM79CcGh8,53PpijFATt35Zxfl6LTxoK,Leão,75,53PpijFATt35Zxfl6LTxoK,0.743,0.865,6,-3.897,1,0.0315,0.449,3.05e-06,0.297,0.794,129.999,166775,4,arrocha,sertanejo,sertanejo universitario,,
Melody,7ySZCEP4HFGckYYPK5rqFI,3P2ubMyuL9NQOVU67TVCXA,"Love, Love",84,3P2ubMyuL9NQOVU67TVCXA,0.875,0.703,7,-3.644,1,0.0568,0.352,0.0,0.326,0.971,142.064,133385,4,pop nacional,pop teen brasileiro,,,
Guilherme & Benuto,6m6e7D2TnV0aYMllFFwMxu,7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,86,7DkhndGTKaqkFxxKN7XlAh,0.529,0.87,1,-3.463,0,0.0942,0.444,0.0,0.692,0.384,147.778,166491,4,agronejo,arrocha,sertanejo,sertanejo universitario,
Israel & Rodolffo,41QLxRXlc2NwfJZkHGHKid,0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,80,0SCMVUZ21uYYB8cc0ScfbV,0.654,0.948,1,-3.672,1,0.0548,0.3,0.0,0.92,0.706,158.054,154702,4,agronejo,arrocha,sertanejo,sertanejo universitario,
Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,83,1nf1HJdTWXwf9XHQebGlOd,0.7,0.914,2,-3.047,0,0.0539,0.168,0.0,0.761,0.776,149.918,144298,4,arrocha,sertanejo,sertanejo universitario,,
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,84,3PqU6gHWUaBTtIZi5oxEJ7,0.521,0.825,8,-6.025,0,0.126,0.322,0.0,0.689,0.692,144.667,171712,4,agronejo,arrocha,sertanejo,sertanejo universitario,
Veigh,4YqwRbMLqGHRHLS1w2ZKse,39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,86,39xOREhViooEYFpmnKTdrl,0.789,0.356,6,-10.396,0,0.362,0.542,0.0,0.145,0.532,111.937,188497,4,trap brasileiro,,,,
